layer_id,id,name,fileName,color,rarity,adjustedRarity,description
0,0,Blood River,Blood_River.png,river,10,9.090909091,Blood river that is shown to those with a future of battle or strife
0,1,Blue Mist,Blue_Mist.png,vapor,10,9.090909091,Soothing skies belie unknown futures
0,2,Blue Portal,Blue_Portal.png,portal,10,9.090909091,Blue portal that transfers users across the many Valleys of Yield and Principal
0,3,Clear Skies,Clear_Skies.png,clouds,10,9.090909091,Clear skies signal peace and tranquility
0,4,Good Night,Good_Night.png,night,10,9.090909091,A starry night full of pinpoints of distant opportunity
0,5,Green Mist,Green_Mist.png,vapor,10,9.090909091,The skies simmer with soothing green vapors
0,6,Green Portal,Green_Portal.png,portal,10,9.090909091,A green portal signifies balance in all things
0,7,Orange Mist,Orange_Mist.png,vapor,10,9.090909091,Soothing vapors expand into the vast ether of existence
0,8,Purple Mist,Purple_Mist.png,vapor,10,9.090909091,The skies glimmer with mysterious purple vapors
0,9,Red Portal,Red_Portal.png,portal,10,9.090909091,A red portal signifies strife and battle
0,10,Warm Sunrise,Warm_Sunrise.png,morning,10,9.090909091,Sunrise across Principal Valley to signify a new light and journey
1,0,None,none,none,80,80,Those without weapons are the economic backbone of Elf society
1,1,Blue Bow,Blue_Bow.png,,4.7904191611976,1.868716216,Markings of tradition adorn this ceremonial bow
1,2,Dark Bow,Dark_Bow.png,dark,4.7904191611976,3.737432432,"Dark bows draw no attention, allowing their user to slither in the night"
1,3,Dark Longsword,Dark_Longsword.png,dark,3,2.027027027,Massive broadsword ready to fell anything in its path
1,4,Draconic Bow,Draconic_Bow.png,draconic,2.3952095805988,3.737432432,Draconic markings bode ill for those standing in its way
1,5,Draconic Lance,Draconic_Lance.png,draconic,2,1.351351351,Draconic lances wielded by tribes of elves as fierce and wild as their prey
1,6,Draconic Staff,Draconic_Staff.png,draconic,1,0.6756756757,A staff adorned with the bones of dire beasts exhorts power and influence
1,7,Golden Bow,Golden_Bow.png,golden,2.3952095805988,3.737432432,Gold-plated bows wielded by those of high status
1,8,Golden Dual Swords,Golden_Dual_Swords.png,golden,2,3.378378378,Dual swords favored by the most degen tribes endlessly searching for the highest yields
1,9,Golden Lance,Golden_Lance.png,golden,2,1.351351351,Lances dripping with gold leaf lull opponents into a false sense of security
1,10,Golden Longsword,Golden_Longsword.png,golden,3,2.027027027,A golden blade wielded by someone of high status; or someone who cut them down for it
1,11,Golden Staff,Golden_Staff.png,golden,1,0.6756756757,A gold-plated staff passed down through generations now serves as a symbol of diplomacy
1,12,Green Dual Swords,Green_Dual_Swords.png,green,5,3.378378378,Dual swords favored by the most degen tribes endlessly searching for the highest yields
1,13,Ice Lance,Ice_Lance.png,,4,1.351351351,"Songs of old told of weapons made of unbreakable, never-melting ice, carried by elite soldiers"
1,14,Jade Staff,Jade_Staff.png,jade,3,2.027027027,Only the finest tribes of artisans ever possessed the ability to craft such opulent weapons
1,15,Left Quartz Sword,Left_Quartz_Sword.png,,8,5.405405405,"Elves possess unparalleled quartz craftsmanship, through which they imbue their weapons with eternal sharpness"
1,16,Red Dual Swords,Red_Dual_Swords.png,red,5,3.378378378,Dual swords favored by the most degen tribes endlessly searching for the highest yields
1,17,Red Longsword,Red_Longsword.png,red,3,2.027027027,An ominous blade that shimmers with imbued power and incantation
1,18,Right Quartz Sword,Right_Quartz_Sword.png,,8,5.405405405,"Elves possess unparalleled quartz craftsmanship, through which they imbue their weapons with eternal sharpness"
2,0,Blue,Blue.png,blue,25,25,Elves whose kin have been exposed to the deep blue waters of the Sea of Liquidity bear a blue tinge
2,1,Light,Light.png,pale,15,20,The icy peaks of the Bearish Mountains are said to be home to Elfis whose skin is paler than snow
2,2,Pale,Pale.png,green,10,20,The skin of Elfis whose generations have spent their time among the trees of the Forests of Yield has become green
2,3,Pink,Pink.png,pink,25,25,Exposure to the red arid soil of the Bullish Valleys has made the skin of each new generation become slightly more pink
2,4,Red,Red.png,red,5,5,"Red Elves are believed to be descendants of the Ancestral Degens, whose skin was tempered by the fiery forges of the Degen Inferno"
2,5,Yellow,Yellow.png,yellow,5,5,"Yellow elves are believed to be descendants of the Ancient Proposers, whose rules of governance still guide to this day"
3,0,None,none,none,2,2,Some elves shun the moral rigitude of society in favor of being one with nature
3,1,Blue Blouse,Blue_Blouse.png,blue,3.5,2.991452991,Clothes worn by nobility on diplomatic events. Blue represents liquidity and mastery of diplomacy
